SOURCE	SOURCE_GLOSS	RELATION	TARGET	TARGET_GLOSS
1050	MOTHER-IN-LAW	narrower	2256	MOTHER-IN-LAW (OF WOMAN)
1050	MOTHER-IN-LAW	narrower	2257	MOTHER-IN-LAW (OF MAN)
1055	FATHER-IN-LAW	narrower	2254	FATHER-IN-LAW (OF WOMAN)
1055	FATHER-IN-LAW	narrower	2255	FATHER-IN-LAW (OF MAN)
1056	SON-IN-LAW	narrower	2266	SON-IN-LAW (OF WOMAN)
1056	SON-IN-LAW	narrower	2267	SON-IN-LAW (OF MAN)
1057	DAUGHTER-IN-LAW	narrower	2264	DAUGHTER-IN-LAW (OF WOMAN)
1057	DAUGHTER-IN-LAW	narrower	2265	DAUGHTER-IN-LAW (OF MAN)
1092	HOPE	narrower	3211	HOPE (FAITH)
1092	HOPE	narrower	3212	HOPE (SOMETHING)
1123	PREGNANT	narrower	3827	PREGNANT (OF ANIMALS)
1128	ORDER	narrower	1998	COMMAND
1128	ORDER	narrower	3459	PUT IN ORDER
1198	MANY	narrower	3452	MUCH
1198	MANY	narrower	3453	MANY PIECES
1207	YOUNG	narrower	563	YOUNG (OF WOMAN)
1207	YOUNG	narrower	564	YOUNG (OF MAN)
1208	CAT	narrower	3825	MALE CAT
1209	I	hasform	2301	ME
1212	WE	hasform	2310	US (OBLIQUE CASE OF WE)
1212	WE	narrower	1130	WE (EXCLUSIVE)
1212	WE	narrower	1131	WE (INCLUSIVE)
1213	YOU	hasform	2312	YOU (OBLIQUE CASE OF YOU)
1213	YOU	narrower	2111	YOU TWO
1215	THOU	narrower	2304	THEE (OBLIQUE CASE OF YOU)
1229	OLD	narrower	2112	OLD (AGED)
1232	WARM	narrower	2110	WARM (OF WEATHER)
1242	FEW	narrower	2924	A LITTLE
1242	FEW	narrower	3451	FEW PIECES
1246	SMALL	narrower	2484	SMALL (NOT TALL)
126	SWEAT (PERSPIRE)	producedby	125	SWEAT (SUBSTANCE)
1262	BROTHER	narrower	1759	OLDER BROTHER
1262	BROTHER	narrower	1760	YOUNGER BROTHER
1262	BROTHER	narrower	559	BROTHER (OF MAN)
1262	BROTHER	narrower	560	BROTHER (OF WOMAN)
1263	SISTER	narrower	1758	OLDER SISTER
1263	SISTER	narrower	1761	YOUNGER SISTER
1263	SISTER	narrower	561	SISTER (OF MAN)
1263	SISTER	narrower	562	SISTER (OF WOMAN)
1264	CHANGE	narrower	2856	CHANGE (SOMETHING)
1264	CHANGE	narrower	2857	CHANGE (BECOME DIFFERENT)
1272	AUNT	narrower	2175	PATERNAL AUNT
1272	AUNT	narrower	2176	MATERNAL AUNT
1287	COLD	narrower	2483	COLD (OF WEATHER)
1327	UNCLE	narrower	1985	PATERNAL UNCLE (FATHER'S BROTHER)
1337	PIG	narrower	2487	MALE PIG
1337	PIG	narrower	2488	FEMALE PIG
1357	DAUGHTER	narrower	3778	DAUGHTER (OF MALE EGO)
138	BATHE	transitiveof	3170	BATHE (SOMEONE)
1383	GRANDFATHER	narrower	2178	MATERNAL GRANDFATHER
1383	GRANDFATHER	narrower	2560	PATERNAL GRANDFATHER
1387	ARRIVE	narrower	2212	ARRIVE (OF AN EVENT)
1395	ROUND	narrower	2302	CIRCULAR (ROUND IN TWO DIMENSIONS)
1395	ROUND	narrower	2303	SPHERICAL (ROUND IN THREE DIMENSIONS)
1402	BREAST	producedby	635	MILK
1411	LIE (REST)	resultsin	215	LIE DOWN
1416	SIT	resultsin	1649	SIT DOWN
