ID,Name,Description,ColumnSpec,Concepticon_ID,Concepticon_Gloss,OriginalConcept
eye,EYE,,,1248,EYE,
water,WATER,,,948,WATER,
fire,FIRE,,,221,FIRE,
head,HEAD,,,1256,HEAD,
dog,DOG,,,2009,DOG,
tooth,TOOTH,,,1380,TOOTH,
bone,BONE,,,1394,BONE,
sun,SUN,,,1343,SUN,
blood,BLOOD,,,946,BLOOD,
bird,BIRD,,,937,BIRD,
skin,SKIN,,,763,SKIN,
ear,EAR,,,1247,EAR,
two,TWO,,,1498,TWO,
nose,NOSE,,,1221,NOSE,
tongue,TONGUE,,,1205,TONGUE,
tree,TREE,,,906,TREE,
egg,EGG,,,744,EGG,
good,GOOD,,,1035,GOOD,
one,ONE,,,1493,ONE,
sleep,SLEEP,,,1585,SLEEP,
come,COME,,,1446,COME,
moon,MOON,,,1313,MOON,
mouth,MOUTH,,,674,MOUTH,
see,SEE,,,1409,SEE,
smokeexhaust,SMOKE (EXHAUST),,,778,SMOKE (EXHAUST),
big,BIG,,,1202,BIG,
night,NIGHT,,,1233,NIGHT,
breast,BREAST,,,1402,BREAST,
stone,STONE,,,857,STONE,STONE OR ROCK
white,WHITE,,,1335,WHITE,
eat,EAT,,,1336,EAT,
small,SMALL,,,1246,SMALL,
star,STAR,,,1430,STAR,
neck,NECK,,,1333,NECK,
sand,SAND,,,671,SAND,
name,NAME,,,1405,NAME,
leaf,LEAF,,,628,LEAF,
louse,LOUSE,,,1392,LOUSE,
mother,MOTHER,,,1216,MOTHER,
i,I,,,1209,I,
ash,ASH,,,646,ASH,
tail,TAIL,,,1220,TAIL,
father,FATHER,,,1217,FATHER,
cold,COLD,,,1287,COLD,COLD (OF WEATHER)
give,GIVE,,,1447,GIVE,
house,HOUSE,,,1252,HOUSE,
root,ROOT,,,670,ROOT,
wind,WIND,,,960,WIND,
hear,HEAR,,,1408,HEAR,
sit,SIT,,,1416,SIT,
snake,SNAKE,,,730,SNAKE,
long,LONG,,,1203,LONG,
knee,KNEE,,,1371,KNEE,
cloud,CLOUD,,,1489,CLOUD,
new,NEW,,,1231,NEW,
bite,BITE,,,1403,BITE,
red,RED,,,156,RED,
three,THREE,,,492,THREE,
woman,WOMAN,,,962,WOMAN,FEMALE PERSON
stand,STAND,,,1442,STAND,
thou,THOU,,,1215,THOU,
what,WHAT,,,1236,WHAT,
who,WHO,,,1235,WHO,
fish,FISH,,,227,FISH,
kill,KILL,,,1417,KILL,
laugh,LAUGH,,,1355,LAUGH,
belly,BELLY,,,1251,BELLY,
liver,LIVER,,,1224,LIVER,
maleperson,MALE PERSON,,,2106,MALE PERSON,MAN
shoulder,SHOULDER,,,1482,SHOULDER,
heart,HEART,,,1223,HEART,
drink,DRINK,,,1401,DRINK,
flymovethroughair,FLY (MOVE THROUGH AIR),,,1441,FLY (MOVE THROUGH AIR),
mosquito,MOSQUITO,,,1509,MOSQUITO,
leg,LEG,,,1297,LEG,FOOT OR LEG
wing,WING,,,1257,WING,
black,BLACK,,,163,BLACK,
cry,CRY,,,1839,CRY,
hand,HAND,,,1277,HAND,ARM OR HAND
wet,WET,,,1726,WET,
sky,SKY,,,1732,SKY,
heavy,HEAVY,,,1210,HEAVY,
dry,DRY,,,1398,DRY,
hot,HOT,,,1286,HOT,HOT OR WARM
yellow,YELLOW,,,1424,YELLOW,
all,ALL,,,98,ALL,
die,DIE,,,1494,DIE,BE DEAD OR DIE
yesterday,YESTERDAY,,,1174,YESTERDAY,
walk,WALK,,,1443,WALK,
far,FAR,,,1406,FAR,
rainprecipitation,RAIN (PRECIPITATION),,,658,RAIN (PRECIPITATION),RAINING OR RAIN
person,PERSON,,,683,PERSON,
near,NEAR,,,1942,NEAR,
liedown,LIE DOWN,,,215,LIE DOWN,
four,FOUR,,,1500,FOUR,
pig,PIG,,,1337,PIG,
tomorrow,TOMORROW,,,1329,TOMORROW,
short,SHORT,,,1645,SHORT,
fall,FALL,,,1280,FALL,
bad,BAD,,,1292,BAD,BAD OR EVIL
fingernail,FINGERNAIL,,,1258,FINGERNAIL,CLAW OR NAIL
they,THEY,,,817,THEY,
salt,SALT,,,1274,SALT,
foot,FOOT,,,1301,FOOT,FOOT OR LEG
five,FIVE,,,493,FIVE,
many,MANY,,,1198,MANY,
where,WHERE,,,1237,WHERE,
dig,DIG,,,1418,DIG,
run,RUN,,,1519,RUN,
vomit,VOMIT,,,1278,VOMIT,
speak,SPEAK,,,1623,SPEAK,
fatorganicsubstance,FAT (ORGANIC SUBSTANCE),,,323,FAT (ORGANIC SUBSTANCE),
left,LEFT,,,244,LEFT,
arm,ARM,,,1673,ARM,ARM OR HAND
go,GO,,,695,GO,
sharp,SHARP,,,1396,SHARP,
earthsoil,EARTH (SOIL),,,1228,EARTH (SOIL),EARTH OR LAND
frog,FROG,,,503,FROG,
you,YOU,,,1213,YOU,
right,RIGHT,,,1019,RIGHT,
navel,NAVEL,,,1838,NAVEL,
back,BACK,,,1291,BACK,
